sn,experiment,a11,a12,a13,a21,a22,a23,a31,a32,a33,a41,a42,a43,r11,r12,r13,r21,r22,r23,r31,r32,r33,r41,r42,r43,drecall11,drecall12,drecall13,drecall21,drecall22,drecall23,drecall31,drecall32,drecall33,drecall41,drecall42,drecall43,drecallDblExp11,drecallDblExp12,drecallDblExp13,drecallDblExp21,drecallDblExp22,drecallDblExp23,drecallDblExp31,drecallDblExp32,drecallDblExp33,drecallDblExp41,drecallDblExp42,drecallDblExp43,drecog11,drecog12,drecog13,drecog21,drecog22,drecog23,drecog31,drecog32,drecog33,drecog41,drecog42,drecog43,oriented_RED,unoriented_BLACK,delRec_Oriented,delRec_unoriented,delRec_unoriented_noCntrl
1040,1,1,0.79,0.94,0.74,0.93,0.95,0.83,0.76,0.93,0.76,0.76,0.95,614,757,515,601,646,518,689,716,497,651,588,486,0,0.03,0,0,0,0,0,0,0.03,0,0.03,0,0.06,0.05,0,0,0,0.05,0,0,0,0,0,0, , , , , , , , , , , , ,0.01,0.006666667, , , 
1041,1,1,0.86,0.94,1,0.93,1,0.82,0.95,1,0.95,0.88,0.94,937,794,822,755,933,886,787,801,767,927,924,871,0.03,0.03,0,0.03,0.03,0,0,0,0,0,0,0,0.07,0.05,0,0,0,0.05,0,0,0.11,0,0,0, , , , , , , , , , , , ,0.02,0.006666667, , , 
1042,1,0.86,0.88,1,0.94,1,0.95,1,1,0.96,0.9,0.9,1,865,873,664,922,813,668,928,995,641,895,902,704,0,0,0,0,0,0,0,0,0.03,0,0,0.05,0.05,0,0,0.06,0,0,0,0,0.04,0,0.05,0.08, , , , , , , , , , , , ,0.01,0.005555556, , , 
1043,1,0.81,0.93,0.93,0.83,0.86,0.75,0.76,0.82,1,0.5,0.85,1,544,666,500,682,527,570,757,681,467,639,648,468,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.07,0,0,0,0,0,0,0.08,0.05,0.05, , , , , , , , , , , , ,0,0.003333333, , , 
1044,1,0.84,0.55,0.87,0.52,0.88,0.73,0.59,0.67,0.94,0.6,0.67,0.8,581,682,637,581,503,664,662,742,479,699,675,536,0,0,0,0,0.02,0,0,0,0.02,0.02,0,0,0.05,0.05,0,0,0,0.07,0.06,0,0,0,0.13,0, , , , , , , , , , , , ,0.013333333,0.002222222, , , 
1046,1,0.88,0.92,0.89,1,1,0.88,0.94,0.72,1,1,1,1,620,656,813,711,662,725,736,690,665,625,682,784,0,0,0,0,0,0,0,0,0,0,0.04,0,0.06,0,0,0,0,0,0,0,0,0,0,0.15, , , , , , , , , , , , ,0,0.004444444, , , 
1047,1,1,0.95,1,0.91,1,0.94,1,0.95,0.96,0.95,0.94,0.94,538,573,626,519,615,552,626,588,560,556,577,607,0,0,0,0,0,0.02,0,0,0.09,0,0,0,0,0,0,0,0,0.11,0,0,0.04,0,0,0, , , , , , , , , , , , ,0.03,0.002222222, , , 
1048,1,0.75,0.57,0.63,0.56,0.96,0.67,0.67,0.5,0.82,0.45,0.47,0.44,412,430,419,394,396,406,463,446,476,402,393,392,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0, , , , , , , , , , , , ,0,0.003333333, , , 
1049,1,0.92,0.91,0.89,0.92,0.73,0.89,0.84,0.92,0.94,0.85,1,0.81,889,794,715,741,730,759,803,782,670,853,744,600,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.11,0.04,0,0,0.05,0.07,0, , , , , , , , , , , , ,0,0.011111111, , , 
1050,1,0.87,0.86,0.67,0.73,0.88,0.77,0.79,0.53,0.88,0.74,0.69,0.87,410,428,433,435,425,417,443,462,435,413,449,416,0,0,0,0,0.07,0,0,0,0.08,0,0,0,0,0,0.06,0,0,0,0.05,0,0,0.04,0,0, , , , , , , , , , , , ,0.05,0, , , 
